comment_id,product_category,comment_content,timestamp,user_id,user_age_range,user_gender,user_province,sentiment_label,comment_time
COMM_008376,美妆,遮瑕膏的质地很粗糙，不容易推开，还有刺鼻的味道，不推荐！,1718166134,USER_4422FF8C,18-25,男,东莞,负面,2024-06-12 12:22:14
COMM_005397,食品,坚果礼盒的食材还算新鲜，味道中规中矩，性价比一般。,1749447053,USER_43CA35F6,36-45,男,太原,中性,2025-06-09 13:30:53
COMM_004699,服装,这款牛仔裤质量太差了！面料粗糙，版型也不好，穿上特别显胖，差评！,1709507151,USER_F0513D29,18-25,男,福州,负面,2024-03-04 07:05:51
COMM_008791,美妆,腮红的成分很安全，敏感肌用着也没问题，效果超出预期！,1728532259,USER_BEE596F3,55+,男,南京,正面,2024-10-10 11:50:59
COMM_004930,服装,运动裤的做工特别精细，没有多余的线头，颜色和图片一致，超喜欢！,1717077855,USER_54BD4938,36-45,未知,石家庄,正面,2024-05-30 22:04:15
COMM_001610,电子产品,这款蓝牙耳机性能太赞了！运行速度超快，续航也比预期的好，性价比拉满！,1753203523,USER_C25C9FB4,46-55,未知,苏州,正面,2025-07-23 00:58:43
COMM_009670,美妆,睫毛膏的使用感还行，容易推开，但持妆时间不长，符合预期。,1719559980,USER_851E3AD2,26-35,女,西安,中性,2024-06-28 15:33:00
COMM_008088,美妆,这款粉底液整体还行，上妆效果一般，持妆时间处于平均水平。,1712876362,USER_E64BFB3D,36-45,女,北京,中性,2024-04-12 06:59:22
COMM_003349,服装,T恤的做工特别精细，没有多余的线头，颜色和图片一致，超喜欢！,1740263380,USER_F51CD2C9,36-45,未知,上海,正面,2025-02-23 06:29:40
COMM_008542,美妆,遮瑕膏的使用感超棒，容易推开，不卡粉，效果自然，太满意了！,1757671267,USER_CCB19117,26-35,女,宁波,正面,2025-09-12 18:01:07
COMM_006864,食品,买的面包口感极佳，甜度适中，没有添加剂，吃着很放心！,1756410627,USER_1D67F329,36-45,男,东莞,正面,2025-08-29 03:50:27
COMM_001359,电子产品,买的音箱发热特别严重，而且操作很不流畅，后悔死了，不建议购买！,1715471192,USER_0F96B309,18-25,女,石家庄,负面,2024-05-12 07:46:32
COMM_006281,食品,买的薯片口感极佳，甜度适中，没有添加剂，吃着很放心！,1749982835,USER_C02C6E7E,55+,未知,贵阳,正面,2025-06-15 18:20:35
COMM_005033,食品,坚果礼盒的包装漏了，里面的东西都洒了，联系客服也不处理，避雷！,1750083339,USER_E6588191,55+,女,济南,负面,2025-06-16 22:15:39
COMM_000232,电子产品,这款鼠标太坑了！用了没几天就卡得不行，续航也差，完全不值这个价！,1707464304,USER_8AB3EDE7,26-35,男,温州,负面,2024-02-09 15:38:24
COMM_005774,食品,酸奶的食材很新鲜，味道特别好，包装也很严实，性价比超高！,1750056970,USER_714CDD5C,18-25,女,北京,正面,2025-06-16 14:56:10
COMM_007891,美妆,买的遮瑕膏显色度超高，持久不脱妆，性价比也很高，会无限回购！,1745202905,USER_4E323965,36-45,女,太原,正面,2025-04-21 10:35:05
COMM_007557,美妆,买了眉笔用了一下，优点是物流快，缺点是售后差，整体尚可。,1745262759,USER_DF032B4F,26-35,女,无锡,中性,2025-04-22 03:12:39
COMM_009846,美妆,腮红的质地超细腻，用起来很舒服，没有刺激感，效果超棒！,1720741656,USER_5154A807,26-35,女,沈阳,正面,2024-07-12 07:47:36
COMM_007462,食品,薯片的味道太赞了，家人都很喜欢，包装也很精美，送礼也合适！,1728936220,USER_0F17BF63,55+,女,厦门,正面,2024-10-15 04:03:40
COMM_008790,美妆,腮红的成分有问题，用了之后皮肤过敏，联系客服也不解决，避雷！,1746831802,USER_824FEB2D,26-35,未知,天津,负面,2025-05-10 07:03:22
COMM_005188,食品,酸奶的食材很新鲜，味道特别好，包装也很严实，性价比超高！,1752810042,USER_1D0754D3,36-45,男,武汉,正面,2025-07-18 11:40:42
COMM_003346,服装,牛仔裤的材质柔软透气，穿着特别舒服，款式也很时尚，太满意了！,1714271641,USER_9B28ED1F,55+,未知,无锡,正面,2024-04-28 10:34:01
COMM_000183,电子产品,对比了好几款最终选了这款平板电脑，果然没选错，使用感超棒，售后也很贴心！,1715049172,USER_3C54AE67,46-55,未知,兰州,正面,2024-05-07 10:32:52
COMM_001534,电子产品,无线耳机的质量有问题，刚收到就发现电池鼓包，联系客服还推诿，体验极差！,1728074865,USER_9F15D102,55+,女,石家庄,负面,2024-10-05 04:47:45
COMM_003449,服装,这款运动裤面料超舒服，版型也超正，穿上特别显身材，性价比超高！,1716867966,USER_C0D922CB,55+,女,成都,正面,2024-05-28 11:46:06
COMM_004767,服装,连衣裙的面料特别硬，穿着很不舒服，还起球，后悔买了！,1732046306,USER_A907EC65,26-35,女,太原,负面,2024-11-20 03:58:26
COMM_001141,电子产品,这款智能手表性能太赞了！运行速度超快，续航也比预期的好，性价比拉满！,1736827894,USER_6AB20244,55+,未知,银川,正面,2025-01-14 12:11:34
COMM_005234,食品,辣条的保质期新鲜，口感酥脆，味道正宗，比实体店买的还好吃！,1726195159,USER_502FBFF1,26-35,女,海口,正面,2024-09-13 10:39:19
COMM_000019,电子产品,投影仪的质量有问题，刚收到就发现按键失灵，联系客服还推诿，体验极差！,1723924135,USER_6B866BFF,55+,女,重庆,负面,2024-08-18 03:48:55
COMM_005616,食品,巧克力的食材还算新鲜，味道中规中矩，性价比一般。,1735324039,USER_BBAF0506,36-45,男,乌鲁木齐,中性,2024-12-28 02:27:19
COMM_009193,美妆,遮瑕膏的效果和宣传差太多，卡粉严重，还闷痘，太失望了！,1730046111,USER_884CC895,26-35,女,广州,负面,2024-10-28 00:21:51
COMM_002478,电子产品,无线耳机的实际体验和宣传差太多，卡顿严重，电池掉电快，差评！,1715311577,USER_167DDD9B,46-55,未知,长沙,负面,2024-05-10 11:26:17
COMM_004017,服装,买的T恤尺码很准，穿着很舒服，洗了也没有掉色变形，值得购买！,1717703626,USER_63F7D5F9,46-55,女,上海,正面,2024-06-07 03:53:46
COMM_004224,服装,牛仔裤的设计感十足，搭配什么都好看，质量也特别好，会回购！,1735440759,USER_5FE7243E,46-55,女,上海,正面,2024-12-29 10:52:39
COMM_002863,服装,牛仔裤的版型设计有问题，穿着特别别扭，质量也不行，不推荐！,1719865188,USER_16B85101,46-55,男,长沙,负面,2024-07-02 04:19:48
COMM_008544,美妆,买的粉底液显色度超高，持久不脱妆，性价比也很高，会无限回购！,1728209148,USER_21D846C6,26-35,未知,济南,正面,2024-10-06 18:05:48
COMM_006010,食品,巧克力的保质期快到了，而且口感很差，甜度过高，不建议购买！,1727379815,USER_E55B708F,26-35,男,天津,负面,2024-09-27 03:43:35
COMM_006148,食品,面包的分量还可以，但味道有点淡，整体符合预期。,1706822398,USER_30BB4FE7,36-45,未知,长春,中性,2024-02-02 05:19:58
COMM_004929,服装,半身裙的版型设计有问题，穿着特别别扭，质量也不行，不推荐！,1721257019,USER_D7075CDC,36-45,女,天津,负面,2024-07-18 06:56:59
COMM_002183,电子产品,音箱的外观还不错，但操作逻辑有点复杂，适应一下就好了。,1706491120,USER_872DCBB1,36-45,未知,上海,中性,2024-01-29 09:18:40
COMM_008622,美妆,买的散粉显色度极差，还容易脱妆，完全不值这个价，后悔了！,1724878896,USER_F7AA5192,55+,男,济南,负面,2024-08-29 05:01:36
COMM_009150,美妆,腮红的成分很安全，敏感肌用着也没问题，效果超出预期！,1760284410,USER_D42048DC,26-35,未知,太原,正面,2025-10-12 23:53:30
COMM_008701,美妆,睫毛膏的质地很粗糙，不容易推开，还有刺鼻的味道，不推荐！,1740926160,USER_EDDC024D,36-45,未知,厦门,负面,2025-03-02 22:36:00
COMM_007029,食品,火腿肠的味道太赞了，家人都很喜欢，包装也很精美，送礼也合适！,1744333825,USER_DD465FAC,18-25,未知,南昌,正面,2025-04-11 09:10:25
COMM_006906,食品,买了坚果礼盒尝了一下，优点是颜值高，缺点是包装简陋，整体还行。,1761760747,USER_552A3EE2,36-45,未知,长沙,中性,2025-10-30 01:59:07
COMM_000191,电子产品,这款平板电脑性能太赞了！运行速度超快，续航也比预期的好，性价比拉满！,1747831723,USER_2E87A897,55+,女,济南,正面,2025-05-21 20:48:43
COMM_008882,美妆,口红的质地超细腻，用起来很舒服，没有刺激感，效果超棒！,1724721552,USER_8C84D299,55+,男,长春,正面,2024-08-27 09:19:12
COMM_002929,服装,买了短裤试穿了一下，优点是使用方便，缺点是价格偏高，整体还行。,1704473069,USER_82F37A01,26-35,未知,南宁,中性,2024-01-06 00:44:29
COMM_001209,电子产品,智能手机的使用体验一般，续航和性能都处于平均水平，符合这个价位。,1712687686,USER_F86AC6FB,18-25,男,长春,中性,2024-04-10 02:34:46
