sender_id,receiver_id,interact_type,time,weight
文013,环080,群聊发言,2025-10-26 07:00:29.902093,4
人098,环015,私聊,2025-10-29 21:29:29.902093,3
环034,人035,@提及,2025-11-01 19:58:29.902093,1
文062,文040,文件分享,2025-11-16 21:29:29.902093,3
人005,文032,群聊发言,2025-10-24 01:00:29.902093,2
环034,文071,@提及,2025-10-21 19:27:29.902093,5
环051,环049,私聊,2025-10-28 13:45:29.902093,3
文034,人047,私聊,2025-10-21 11:34:29.902093,2
人099,环041,@提及,2025-11-11 21:16:29.902093,2
环020,环087,群聊发言,2025-11-09 03:29:29.902093,5
文014,环018,群聊发言,2025-11-09 08:39:29.902093,1
人079,文014,群聊发言,2025-10-18 23:35:29.902093,4
环096,文022,群聊发言,2025-11-04 12:08:29.902093,1
文100,文041,@提及,2025-10-20 04:52:29.902093,2
环033,文024,群聊发言,2025-10-20 18:26:29.902093,5
文007,,群聊发言,2025-10-22 17:03:29.902093,3
人031,,群聊发言,2025-11-10 23:01:29.902093,5
环008,人038,群聊发言,2025-10-26 06:10:29.902093,3
环014,人049,群聊发言,2025-10-27 11:37:29.902093,4
人070,文049,私聊,2025-11-02 23:37:29.902093,1
人083,文064,文件分享,2025-11-02 08:00:29.902093,2
环064,人036,@提及,2025-11-09 02:05:29.902093,2
文022,人095,@提及,2025-10-29 04:28:29.902093,1
人065,文015,@提及,2025-10-27 08:30:29.902093,5
环004,文019,私聊,2025-11-07 23:00:29.902093,3
文039,人023,群聊发言,2025-10-24 19:58:29.902093,3
人036,环033,@提及,2025-11-02 02:09:29.902093,1
人036,环033,@提及,2025-11-02 02:09:29.902093,1
文056,文073,@提及,2025-11-08 11:15:29.902093,4
人100,环018,群聊发言,2025-11-03 06:48:29.902093,2
文028,文020,群聊发言,2025-10-31 18:12:29.902093,2
环027,环017,@提及,2025-11-16 09:42:29.902093,4
人098,环044,@提及,2025-11-11 15:39:29.902093,3
人017,人055,私聊,2025-11-07 01:31:29.902093,1
文028,环047,群聊发言,2025-11-14 13:37:29.902093,3
环092,文057,群聊发言,2025-11-04 12:46:29.902093,4
环061,文084,私聊,2025-11-12 20:36:29.902093,1
环027,环044,@提及,2025-11-06 08:38:29.902093,1
环076,人036,群聊发言,2025-10-29 21:23:29.902093,5
环085,文057,私聊,2025-10-29 18:05:29.902093,5
环087,人034,群聊发言,2025-11-07 04:42:29.902093,3
人035,环092,群聊发言,2025-11-07 16:32:29.902093,4
人035,环092,群聊发言,2025-11-07 16:32:29.902093,4
环049,文087,群聊发言,2025-10-31 00:13:29.902093,1
人031,文088,私聊,2025-11-06 01:54:29.902093,2
环024,人019,群聊发言,2025-10-28 05:08:29.902093,5
人046,文053,文件分享,2025-11-07 04:06:29.902093,3
文067,环076,群聊发言,2025-10-23 20:24:29.902093,5
文050,人078,群聊发言,2025-10-31 08:56:29.902093,2
文006,人015,群聊发言,2025-11-07 18:50:29.902093,5
文093,人083,私聊,2025-10-22 09:46:29.902093,4
文054,文069,@提及,2025-10-24 05:22:29.902093,4
文034,文043,群聊发言,2025-11-01 07:53:29.902093,4
人083,环032,群聊发言,2025-10-21 10:31:29.902093,4
文096,文057,@提及,2025-11-11 09:36:29.902093,4
环020,人040,@提及,2025-10-22 18:52:29.902093,1
人080,人020,群聊发言,2025-10-19 18:10:29.902093,1
人090,文007,私聊,2025-11-10 22:48:29.902093,4
文027,文074,群聊发言,2025-10-31 14:46:29.902093,2
环005,人097,@提及,2025-11-04 10:26:29.902093,1
人068,人069,群聊发言,2025-10-23 16:29:29.902093,1
环041,文062,群聊发言,2025-10-30 06:56:29.902093,2
环048,文020,@提及,2025-11-10 01:35:29.902093,5
环016,人024,群聊发言,2025-11-09 21:35:29.902093,4
环051,环047,群聊发言,2025-10-26 10:03:29.902093,3
文033,文071,群聊发言,2025-11-14 02:34:29.902093,5
文028,环044,群聊发言,2025-10-26 23:51:29.902093,1
文010,人081,文件分享,2025-11-13 18:08:29.902093,1
环008,人060,私聊,2025-11-08 09:22:29.902093,1
人040,文056,私聊,2025-11-11 08:00:29.902093,5
环036,环090,@提及,2025-11-05 03:58:29.902093,1
环076,人005,@提及,2025-10-25 23:03:29.902093,2
环076,人005,@提及,2025-10-25 23:03:29.902093,2
人028,文032,群聊发言,2025-11-10 05:35:29.902093,1
人026,人097,私聊,2025-11-14 10:01:29.902093,1
环066,环032,群聊发言,2025-10-24 14:50:29.902093,5
环031,文038,群聊发言,2025-11-09 13:11:29.902093,2
文011,环053,群聊发言,2025-11-10 21:24:29.902093,5
人059,文011,@提及,2025-10-21 01:35:29.902093,2
环092,文022,@提及,2025-11-13 10:11:29.902093,3
环062,人084,@提及,2025-11-16 12:18:29.902093,3
环087,人033,群聊发言,2025-10-24 05:33:29.902093,2
文006,文013,群聊发言,2025-11-07 13:39:29.902093,5
环052,人053,群聊发言,2025-10-30 10:43:29.902093,1
环013,人055,私聊,2025-11-16 08:07:29.902093,1
人022,,文件分享,2025-11-02 05:27:29.902093,2
人066,人048,群聊发言,2025-10-20 17:33:29.902093,1
人098,文054,群聊发言,2025-11-04 07:08:29.902093,3
环036,人086,群聊发言,2025-11-17 12:09:29.902093,4
人060,环050,群聊发言,2025-11-05 06:28:29.902093,4
环080,人098,文件分享,2025-11-17 06:40:29.902093,3
人072,环067,群聊发言,2025-10-19 15:24:29.902093,2
环038,环080,@提及,2025-11-02 01:45:29.902093,3
文098,环012,私聊,2025-10-21 04:20:29.902093,3
文098,环012,私聊,2025-10-21 04:20:29.902093,3
文033,环092,私聊,2025-10-19 19:29:29.902093,4
文033,环092,私聊,2025-10-19 19:29:29.902093,4
文006,文012,@提及,2025-10-28 09:22:29.902093,1
文060,人032,私聊,2025-11-03 14:08:29.902093,5
人067,文023,@提及,2025-11-04 09:17:29.902093,1
环032,文018,@提及,2025-10-19 05:37:29.902093,4
文069,文042,私聊,2025-10-20 07:53:29.902093,5
人004,人011,@提及,2025-10-25 15:16:29.902093,5
环076,人071,文件分享,2025-11-01 13:31:29.902093,2
环076,人071,文件分享,2025-11-01 13:31:29.902093,2
环038,人070,群聊发言,2025-10-26 02:02:29.902093,2
环071,环017,私聊,2025-11-16 21:07:29.902093,3
环017,环010,群聊发言,2025-10-27 21:54:29.902093,1
人081,环021,文件分享,2025-10-26 19:53:29.902093,3
人053,环030,私聊,2025-11-04 11:34:29.902093,1
人090,文066,文件分享,2025-10-19 23:07:29.902093,3
环002,人051,文件分享,2025-10-31 20:59:29.902093,2
环007,文013,群聊发言,2025-10-24 23:18:29.902093,3
环059,人091,文件分享,2025-10-20 20:42:29.902093,2
人039,人026,群聊发言,2025-11-08 12:30:29.902093,3
人037,环043,群聊发言,2025-11-01 06:59:29.902093,1
环078,环077,@提及,2025-11-12 17:29:29.902093,2
人007,文072,文件分享,2025-10-19 17:40:29.902093,5
人023,文035,私聊,2025-10-27 10:00:29.902093,2
环042,环001,私聊,2025-11-14 20:26:29.902093,1
环020,人083,@提及,2025-11-14 17:07:29.902093,2
人022,环060,@提及,2025-11-12 20:08:29.902093,2
环018,环042,@提及,2025-11-13 12:38:29.902093,3
文042,人044,群聊发言,2025-11-03 10:28:29.902093,1
人048,环043,群聊发言,2025-10-20 13:30:29.902093,1
环088,人012,群聊发言,2025-11-08 09:56:29.902093,2
环088,人012,群聊发言,2025-11-08 09:56:29.902093,2
文008,环052,文件分享,2025-10-22 05:17:29.902093,3
文079,文070,群聊发言,2025-11-11 08:22:29.902093,1
文021,文019,@提及,2025-10-23 18:15:29.902093,3
环067,环031,群聊发言,2025-10-30 12:57:29.902093,3
环067,环031,群聊发言,2025-10-30 12:57:29.902093,3
人092,文070,私聊,2025-11-11 18:31:29.902093,2
人092,文070,私聊,2025-11-11 18:31:29.902093,2
人061,文007,群聊发言,2025-11-04 00:15:29.902093,1
人058,环059,群聊发言,2025-11-04 10:45:29.902093,4
文020,环047,群聊发言,2025-11-17 19:12:29.902093,3
环043,环070,群聊发言,2025-10-28 10:07:29.902093,5
文019,环012,文件分享,2025-11-11 18:11:29.902093,2
文052,环053,@提及,2025-11-11 04:08:29.902093,2
环062,文005,群聊发言,2025-11-05 13:12:29.902093,1
人060,人069,群聊发言,2025-11-17 10:12:29.902093,4
人027,文047,群聊发言,2025-10-28 04:51:29.902093,1
人027,文047,群聊发言,2025-10-28 04:51:29.902093,1
人038,环004,@提及,2025-10-22 14:48:29.902093,5
人038,环004,@提及,2025-10-22 14:48:29.902093,5
文075,人052,私聊,2025-10-19 23:55:29.902093,5
文040,文088,群聊发言,2025-10-29 12:15:29.902093,4
文001,文053,群聊发言,2025-10-26 08:06:29.902093,4
人014,文088,@提及,2025-10-21 10:57:29.902093,2
环079,人012,@提及,2025-10-25 04:14:29.902093,4
文040,环056,群聊发言,2025-10-29 18:26:29.902093,1
文081,文045,@提及,2025-10-30 22:17:29.902093,4
人088,环086,群聊发言,2025-10-31 14:41:29.902093,4
人088,环086,群聊发言,2025-10-31 14:41:29.902093,4
人030,人016,@提及,2025-10-28 08:28:29.902093,1
人093,环097,群聊发言,2025-11-17 01:57:29.902093,5
人020,文049,群聊发言,2025-11-14 14:35:29.902093,5
环020,环042,群聊发言,2025-11-13 07:54:29.902093,3
人099,人091,私聊,2025-10-28 08:09:29.902093,4
环077,环069,@提及,2025-11-06 16:57:29.902093,5
文080,人084,@提及,2025-10-24 12:14:29.902093,2
人030,人076,群聊发言,2025-10-26 06:47:29.902093,5
人085,文056,私聊,2025-10-30 07:30:29.902093,5
文076,环030,私聊,2025-11-13 16:27:29.902093,2
文048,文012,@提及,2025-10-22 18:45:29.902093,3
人063,环040,群聊发言,2025-10-29 21:22:29.902093,3
文099,文033,@提及,2025-10-24 22:12:29.902093,1
文099,文033,@提及,2025-10-24 22:12:29.902093,1
人071,文059,群聊发言,2025-10-21 16:56:29.902093,4
文030,人067,私聊,2025-11-08 17:20:29.902093,4
文047,文035,群聊发言,2025-10-24 07:18:29.902093,4
文036,环011,@提及,2025-10-31 19:33:29.902093,2
人071,环055,@提及,2025-10-24 18:44:29.902093,1
环060,文049,私聊,2025-11-16 13:18:29.902093,1
文083,,群聊发言,2025-10-23 08:01:29.902093,1
环099,环058,群聊发言,2025-11-01 07:58:29.902093,5
人092,环027,群聊发言,2025-11-07 01:36:29.902093,4
文004,环040,@提及,2025-11-01 18:43:29.902093,4
环070,,私聊,2025-11-10 06:55:29.902093,2
人041,环075,文件分享,2025-11-03 07:30:29.902093,1
文058,文060,@提及,2025-11-15 15:12:29.902093,4
环008,环002,群聊发言,2025-10-28 22:44:29.902093,2
人023,环087,私聊,2025-11-06 22:03:29.902093,3
人001,环056,群聊发言,2025-11-12 10:21:29.902093,4
人042,人011,群聊发言,2025-10-30 12:15:29.902093,1
人042,人011,群聊发言,2025-10-30 12:15:29.902093,1
文096,环041,群聊发言,2025-11-06 02:21:29.902093,3
人096,文064,@提及,2025-11-15 11:13:29.902093,2
人094,文003,文件分享,2025-11-11 14:28:29.902093,3
人074,文037,群聊发言,2025-11-06 12:11:29.902093,5
环078,环009,群聊发言,2025-11-09 15:12:29.902093,5
人020,文001,@提及,2025-10-20 02:48:29.902093,4
环049,人015,@提及,2025-10-26 17:56:29.902093,1
环080,人074,群聊发言,2025-10-27 01:37:29.902093,5
人049,人044,群聊发言,2025-10-21 10:07:29.902093,1
环031,人038,文件分享,2025-11-16 08:51:29.902093,3
文061,环094,文件分享,2025-10-25 16:06:29.902093,5
文061,环094,文件分享,2025-10-25 16:06:29.902093,5
环061,人008,群聊发言,2025-10-23 11:32:29.902093,4
人042,环034,群聊发言,2025-11-03 07:59:29.902093,1
文062,人010,私聊,2025-10-20 22:05:29.902093,5
环048,环017,@提及,2025-11-02 00:35:29.902093,5
环062,文009,群聊发言,2025-10-29 23:30:29.902093,4
人077,环004,@提及,2025-10-23 11:25:29.902093,3
人077,环004,@提及,2025-10-23 11:25:29.902093,3
环054,环015,群聊发言,2025-11-05 18:26:29.902093,2
人067,人059,@提及,2025-10-23 21:26:29.902093,1
环059,文075,私聊,2025-10-26 07:26:29.902093,3
文017,人088,群聊发言,2025-10-20 13:34:29.902093,3
文005,环003,群聊发言,2025-10-30 07:18:29.902093,5
文093,文047,私聊,2025-10-29 09:03:29.902093,1
文064,环020,@提及,2025-10-27 05:28:29.902093,2
人089,,群聊发言,2025-10-22 16:19:29.902093,3
文047,环050,文件分享,2025-11-09 13:59:29.902093,5
环078,人009,@提及,2025-10-31 15:49:29.902093,3
人083,环011,@提及,2025-10-19 03:52:29.902093,5
文081,文006,群聊发言,2025-11-01 11:57:29.902093,5
人071,文031,群聊发言,2025-10-27 01:57:29.902093,2
文024,文041,@提及,2025-11-11 21:06:29.902093,4
人069,环067,私聊,2025-11-02 03:36:29.902093,4
文018,环060,文件分享,2025-10-25 13:11:29.902093,4
环070,人045,私聊,2025-10-19 06:44:29.902093,1
人002,人066,群聊发言,2025-10-26 12:49:29.902093,2
人089,文015,@提及,2025-11-01 17:09:29.902093,3
人028,人064,@提及,2025-10-30 15:41:29.902093,4
人008,人095,文件分享,2025-11-08 06:15:29.902093,1
人070,人056,私聊,2025-11-10 13:53:29.902093,1
人070,人056,私聊,2025-11-10 13:53:29.902093,1
文026,文089,@提及,2025-10-19 15:43:29.902093,4
人095,环063,群聊发言,2025-10-26 03:43:29.902093,1
环065,文073,@提及,2025-11-10 23:34:29.902093,1
文091,文079,群聊发言,2025-10-25 03:07:29.902093,5
人099,人046,文件分享,2025-11-08 11:42:29.902093,5
人099,人046,文件分享,2025-11-08 11:42:29.902093,5
人074,人026,@提及,2025-11-16 10:36:29.902093,5
文066,环060,@提及,2025-11-08 00:53:29.902093,2
文082,文001,私聊,2025-11-11 07:00:29.902093,3
环001,文038,@提及,2025-11-02 04:40:29.902093,1
人074,人050,群聊发言,2025-11-01 02:23:29.902093,5
