event_name,event_date,person_a,person_b,interact_type,duration
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人021,人072,跨组请教,22
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人081,人011,跨组请教,16
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人096,人024,跨组请教,11
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人056,人020,跨组请教,6
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人082,人014,跨组请教,14
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人062,人023,小组讨论,30
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人021,人030,小组讨论,16
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人018,人025,小组讨论,9
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人029,人039,跨组请教,27
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人001,人081,小组讨论,5
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人042,人030,跨组请教,27
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人039,人069,小组讨论,22
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人027,人072,合作演示,27
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人042,人096,小组讨论,21
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人069,人034,跨组请教,14
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人004,人056,小组讨论,30
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人021,人039,小组讨论,24
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人094,人002,小组讨论,19
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人023,人030,跨组请教,22
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人006,人097,跨组请教,24
人工智能社学术沙龙第1期,2025-11-15 15:00:00.049772,人042,人030,小组讨论,5
