source,target
338,223
451,19
155,439
416,85
230,418
198,416
164,13
426,8
18,22
2,45
363,5
78,100
124,160
258,47
300,299
153,273
155,127
310,397
363,454
140,49
376,331
333,83
118,394
128,347
322,163
399,425
153,287
262,348
152,201
192,73
120,492
162,138
438,406
212,245
284,262
469,297
123,342
1,48
89,44
98,377
406,121
475,452
256,459
313,225
53,135
453,316
444,233
123,132
161,150
336,383
416,275
164,238
100,194
302,260
99,294
162,180
84,315
144,489
263,180
57,385
227,256
180,476
436,325
493,383
223,204
152,155
319,451
309,119
429,471
264,14
442,248
197,209
268,333
25,385
46,208
352,1
492,308
34,434
323,338
77,47
104,134
468,407
122,166
55,12
259,315
343,228
183,475
32,487
169,160
420,428
456,92
18,215
110,154
6,63
201,79
25,26
28,287
142,388
106,238
74,349
198,143
298,285
437,3
498,116
321,49
343,49
117,444
12,20
141,177
329,479
298,254
78,412
220,263
335,331
420,481
400,358
210,207
317,367
359,82
197,145
15,63
288,381
288,305
85,111
304,172
453,318
212,387
351,5
370,220
108,304
384,485
392,170
264,143
474,69
386,330
242,239
209,238
160,198
280,442
314,329
193,191
263,447
39,94
9,339
370,15
275,89
415,324
205,181
107,462
196,133
354,472
222,340
35,31
335,282
459,415
146,155
322,204
2,72
299,487
474,58
417,370
402,339
83,96
400,203
30,233
488,455
117,243
379,192
86,126
333,384
438,28
130,82
480,235
269,229
153,448
382,19
498,281
118,163
53,10
14,412
170,141
39,48
316,53
329,334
23,79
466,109
340,283
278,141
131,186
58,3
139,204
415,329
63,243
201,203
434,253
212,234
63,353
491,175
21,91
339,454
137,157
475,258
162,450
410,3
484,66
132,173
478,451
202,104
359,139
198,405
281,255
402,25
420,131
171,469
238,299
255,125
67,155
406,412
497,471
270,355
187,410
117,39
482,209
105,457
43,496
49,78
347,139
114,168
75,266
114,267
353,345
58,33
409,330
15,4
439,231
68,51
95,405
435,175
173,132
60,277
62,128
496,498
437,440
445,279
323,31
267,287
154,256
234,295
138,246
195,402
210,376
469,478
389,396
279,329
180,364
254,370
378,160
255,398
300,95
245,277
66,171
85,387
488,298
495,453
61,12
31,459
135,40
213,465
272,351
442,247
133,272
78,64
272,263
123,161
166,159
198,115
386,69
338,487
145,154
194,154
415,120
398,100
177,192
82,19
467,462
388,90
379,242
137,134
72,43
221,258
261,384
193,187
136,352
424,255
53,242
386,173
451,279
40,422
344,215
153,160
463,171
183,378
128,106
55,425
152,192
239,462
262,139
254,264
203,280
105,432
352,351
310,141
301,439
